Site,NitrogenTreatment,IrrigationTreatment,Location,Rotation,Crop,Date,SoilN0_15,SoilN15_30,SoilN30_60,SoilN60_90,SoilN90_120,SoilN120_150,SoilN0_30,SoilN0_60,SoilN0_90,SoilN0_120,SoilN0_150
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Pakchoi,2021-01-11,31.972,32.437,24.637,16.136,,,64.409,89.045,105.181,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Pakchoi,2021-01-20,12.449,7.140,13.827,9.056,12.014,9.752,19.589,33.416,42.472,53.191,60.378
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Pakchoi,2020-12-01,19.650,22.904,12.294,10.410,11.633,8.575,42.553,54.847,65.257,78.445,86.040
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Pakchoi,2020-12-21,37.451,26.553,10.874,10.551,,,64.004,74.879,85.430,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Pakchoi,2021-01-11,36.540,26.453,19.925,10.683,,,62.992,82.918,93.601,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Pakchoi,2021-01-20,13.213,5.559,8.204,7.439,9.258,7.392,18.772,26.977,34.415,136.935,148.263
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Pakchoi,2020-12-01,19.483,26.492,11.965,9.776,12.875,8.152,45.974,57.939,67.715,70.839,77.484
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Pakchoi,2020-12-21,37.783,34.952,9.850,9.599,,,72.736,82.586,92.185,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Pakchoi,2021-01-11,38.699,30.969,18.048,13.001,,,69.668,87.716,100.717,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Pakchoi,2021-01-20,22.236,6.725,9.253,8.326,10.357,8.608,28.961,38.214,46.539,36.020,43.491
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Pakchoi,2020-12-01,16.566,19.964,8.398,8.621,10.312,8.901,36.530,44.928,53.549,75.439,83.363
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Pakchoi,2020-12-21,38.818,36.781,11.782,9.625,,,75.599,87.381,97.007,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Pakchoi,2021-01-11,44.950,36.063,18.329,14.531,,,81.013,99.342,113.873,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Pakchoi,2021-01-20,10.645,6.948,8.232,6.520,7.850,7.329,17.593,25.825,32.346,39.547,45.627
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Pakchoi,2020-12-01,18.630,25.896,12.756,10.488,12.521,8.378,44.526,57.283,67.771,62.181,70.618
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Pakchoi,2020-12-21,39.827,37.735,14.283,9.902,,,77.561,91.844,101.746,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Pakchoi,2021-01-11,72.289,36.382,23.825,23.793,,,108.671,132.496,156.289,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Pakchoi,2021-01-20,59.830,24.415,21.021,17.657,14.660,11.627,84.245,105.267,122.924,37.517,43.521
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Pakchoi,2020-12-01,18.000,22.030,12.767,10.294,11.842,7.450,40.031,52.797,63.092,73.876,80.652
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Pakchoi,2020-12-21,41.279,32.500,9.814,7.699,,,73.779,83.594,91.292,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Pakchoi,2021-01-11,56.263,42.016,27.339,15.062,,,98.279,125.618,140.681,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Pakchoi,2021-01-20,48.494,23.393,16.425,10.726,21.522,13.264,71.887,88.313,99.039,118.371,130.586
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Oats_Forage,2021-02-24,26.959,12.267,14.988,14.451,11.628,8.653,39.226,54.215,68.666,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Oats_Forage,2021-04-06,27.322,23.671,8.685,12.203,,,50.993,59.678,71.881,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Oats_Forage,2021-05-03,2.989,6.969,7.286,11.630,,,9.958,17.244,28.874,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Oats_Forage,2021-06-10,6.171,3.682,4.631,7.085,10.939,,9.854,14.485,21.570,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Oats_Forage,2021-07-06,4.916,5.346,7.810,8.361,12.269,,10.263,18.073,26.434,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Oats_Forage,2021-07-26,3.247,3.658,1.908,3.585,3.701,6.938,6.905,8.813,12.398,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Oats_Forage,2021-02-24,37.492,15.590,16.154,13.525,8.721,8.603,53.082,69.236,82.761,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Oats_Forage,2021-04-06,22.785,23.469,14.701,10.514,,,46.254,60.956,71.469,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Oats_Forage,2021-05-03,2.665,4.058,6.835,6.140,,,6.723,13.558,19.697,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Oats_Forage,2021-06-10,3.845,5.052,7.018,8.041,9.372,,8.897,15.916,23.956,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Oats_Forage,2021-07-06,4.912,5.326,7.731,7.711,10.527,,10.238,17.969,25.681,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Oats_Forage,2021-07-26,3.248,2.877,1.667,3.323,5.350,7.248,6.125,7.792,11.116,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Oats_Forage,2021-02-24,39.884,17.183,20.680,13.754,12.851,7.373,57.067,77.747,91.501,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Oats_Forage,2021-04-06,27.123,32.444,18.162,18.824,,,59.567,77.729,96.552,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Oats_Forage,2021-05-03,3.282,5.914,10.758,14.067,,,9.197,19.955,34.022,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Oats_Forage,2021-06-10,4.763,4.467,5.744,11.579,12.588,,9.231,14.975,26.554,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Oats_Forage,2021-07-06,6.258,5.837,8.080,8.038,12.996,,12.095,20.175,28.214,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Oats_Forage,2021-07-26,3.460,3.193,2.935,2.729,5.160,6.427,6.652,9.588,12.317,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Oats_Forage,2021-02-24,59.666,13.479,17.483,12.556,8.801,8.732,73.145,90.628,103.184,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Oats_Forage,2021-04-06,21.826,30.639,17.498,15.272,,,52.466,69.963,85.235,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Oats_Forage,2021-05-03,3.067,7.270,10.699,10.545,,,10.337,21.036,31.581,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Oats_Forage,2021-06-10,4.828,5.757,8.925,9.134,11.091,,10.586,19.510,28.644,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Oats_Forage,2021-07-06,6.011,6.617,10.347,10.699,11.684,,12.628,22.975,33.674,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Oats_Forage,2021-07-26,3.717,3.813,3.948,1.804,4.220,8.293,7.530,11.478,13.283,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Oats_Forage,2021-02-24,58.982,15.490,18.284,13.753,13.119,8.294,74.472,92.756,106.509,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Oats_Forage,2021-04-06,43.265,34.091,15.133,15.496,,,77.357,92.490,107.986,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Oats_Forage,2021-05-03,5.480,8.559,9.445,10.681,,,14.040,23.484,34.166,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Oats_Forage,2021-06-10,5.187,5.749,8.696,7.777,9.102,,10.936,19.632,27.408,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Oats_Forage,2021-07-06,5.793,6.402,8.393,7.714,10.292,,12.195,20.589,28.303,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Oats_Forage,2021-07-26,4.451,4.756,3.355,2.954,5.628,4.773,9.207,12.563,15.517,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Oats_Forage,2021-02-24,52.322,16.690,20.880,11.549,9.905,12.149,69.012,89.892,101.441,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Oats_Forage,2021-04-06,24.510,34.755,14.542,10.791,,,59.265,73.807,84.598,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Oats_Forage,2021-05-03,3.108,2.792,5.841,7.235,,,5.900,11.741,18.976,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Oats_Forage,2021-06-10,4.787,4.456,5.872,33.185,9.340,,9.244,15.115,48.301,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Oats_Forage,2021-07-06,8.488,10.239,7.954,7.325,10.598,,18.727,26.681,34.006,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Oats_Forage,2021-07-26,4.113,3.996,4.411,3.865,5.222,6.868,8.109,12.520,16.386,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Oats_Forage,2021-02-24,96.900,27.589,30.092,16.942,13.882,12.608,124.489,154.581,171.524,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Oats_Forage,2021-04-06,60.508,51.921,19.836,13.065,,,112.428,132.264,145.329,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Oats_Forage,2021-05-03,27.818,30.642,18.387,10.706,,,58.459,76.846,87.552,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Oats_Forage,2021-06-10,8.428,18.772,23.880,20.030,14.068,,27.200,51.080,71.111,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Oats_Forage,2021-07-06,9.315,8.799,24.963,18.773,22.868,,18.114,43.077,61.850,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Oats_Forage,2021-07-26,7.505,7.112,9.649,10.730,10.599,7.794,14.617,24.266,34.996,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Oats_Forage,2021-02-24,79.318,24.659,18.301,10.102,16.820,9.261,103.977,122.278,132.381,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Oats_Forage,2021-04-06,48.854,45.652,18.760,11.577,,,94.506,113.266,124.844,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Oats_Forage,2021-05-03,8.553,18.622,16.750,10.565,,,27.175,43.925,54.490,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Oats_Forage,2021-06-10,7.992,10.230,15.296,11.328,10.707,,18.222,33.518,44.846,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Oats_Forage,2021-07-06,6.558,7.670,11.052,9.965,13.206,,14.227,25.279,35.244,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Oats_Forage,2021-07-26,7.386,4.759,5.283,3.626,4.989,8.912,12.145,17.428,21.055,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Potato,2021-12-13,6.593,26.459,9.562,3.569,4.049,,33.052,42.614,46.183,50.232,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Potato,2021-09-14,21.380,10.864,4.029,3.616,6.447,,32.243,36.272,39.888,46.336,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Potato,2021-10-26,41.997,25.387,10.355,3.487,4.267,8.205,67.384,77.739,81.225,85.492,93.697
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Potato,2021-11-23,83.522,61.650,16.312,7.759,6.262,,145.172,161.484,169.244,175.505,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Potato,2022-01-17,3.106,3.269,3.907,4.802,5.154,,6.375,10.282,15.084,20.238,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Potato,2022-02-08,3.879,3.388,3.963,4.642,5.451,,7.268,11.231,15.873,21.324,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Potato,2022-03-08,15.333,11.984,6.230,5.972,7.524,11.135,27.317,33.547,39.519,47.044,58.179
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Potato,2022-05-02,50.111,18.380,5.652,6.333,4.604,,68.491,74.142,80.476,85.080,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Potato,2021-12-13,8.848,22.075,10.714,4.850,5.902,,30.923,41.637,46.487,52.389,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Potato,2021-09-14,23.319,14.140,5.229,3.025,3.285,,37.458,42.687,45.712,48.997,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Potato,2021-10-26,41.968,26.482,12.598,5.302,6.569,6.899,68.450,81.048,86.350,92.919,99.819
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Potato,2021-11-23,75.080,51.058,25.035,14.495,12.745,,126.139,151.174,165.669,178.414,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Potato,2022-01-17,15.087,10.559,9.716,8.374,8.120,,25.646,35.361,43.736,51.856,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Potato,2022-02-08,3.913,3.960,4.175,5.412,6.373,,7.873,12.047,17.460,23.832,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Potato,2022-03-08,13.955,11.125,6.926,3.998,5.257,7.483,25.080,32.006,36.004,41.260,48.743
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Potato,2022-05-02,61.214,21.808,12.673,7.704,9.618,,83.022,95.696,103.400,113.018,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Potato,2021-12-13,5.043,23.590,6.686,3.911,5.005,,28.633,35.320,39.230,44.236,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Potato,2021-09-14,18.997,9.684,5.085,5.934,6.514,,28.681,33.765,39.699,46.213,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Potato,2021-10-26,39.199,31.084,13.143,5.471,6.862,7.477,70.283,83.426,88.897,95.758,103.235
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Potato,2021-11-23,71.916,63.854,24.496,9.425,7.801,,135.770,160.266,169.691,177.491,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Potato,2022-01-17,68.858,15.286,23.192,10.099,8.876,,84.144,107.336,117.435,126.311,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Potato,2022-02-08,4.824,4.943,4.720,6.894,10.264,,9.767,14.487,21.381,31.645,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Potato,2022-03-08,25.302,15.309,10.876,10.730,10.500,9.860,40.610,51.486,62.216,72.716,82.575
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Potato,2022-05-02,72.826,26.234,9.140,6.865,6.613,,99.060,108.200,115.065,121.677,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Potato,2021-12-13,10.597,29.088,19.567,16.370,14.251,,39.685,59.252,75.622,89.873,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Potato,2021-09-14,28.694,15.142,12.419,11.662,11.883,,43.835,56.255,67.917,79.799,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Potato,2021-10-26,46.806,31.959,17.199,10.440,9.866,12.627,78.765,95.964,106.404,116.270,128.897
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Potato,2021-11-23,84.134,56.923,39.603,21.958,15.001,,141.057,180.660,202.618,217.619,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Potato,2022-01-17,128.889,117.789,37.215,28.974,22.237,,246.677,283.893,312.866,335.103,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Potato,2022-02-08,36.675,18.325,24.555,14.504,13.230,,55.000,79.555,94.059,107.290,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Potato,2022-03-08,49.876,41.078,58.703,38.658,19.549,16.125,90.953,149.657,188.315,207.864,223.988
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Potato,2022-05-02,140.742,39.574,42.737,27.149,19.036,,180.316,223.054,250.203,269.239,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Potato,2021-12-13,11.752,18.506,8.673,5.669,5.770,,30.258,38.931,44.601,50.371,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Potato,2021-09-14,21.536,8.980,4.490,3.938,3.335,,30.517,35.007,38.944,42.280,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Potato,2021-10-26,37.649,27.688,9.107,4.266,5.492,7.031,65.337,74.443,78.709,84.201,91.233
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Potato,2021-11-23,76.629,47.190,23.890,8.750,10.708,,123.819,147.709,156.460,167.167,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Potato,2022-01-17,3.443,3.307,4.876,6.353,6.392,,6.750,11.627,17.980,24.372,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Potato,2022-02-08,4.087,3.987,4.407,4.819,5.107,,8.074,12.481,17.300,22.407,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Potato,2022-03-08,13.037,11.240,5.580,3.337,3.984,4.350,24.277,29.857,33.194,37.178,41.528
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Potato,2022-05-02,53.115,18.325,6.900,5.230,4.680,,71.440,78.340,83.570,88.250,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Potato,2021-12-13,10.526,28.008,8.214,6.083,7.337,,38.534,46.748,52.831,60.168,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Potato,2021-09-14,17.441,11.390,3.834,2.525,3.410,,28.832,32.666,35.191,38.601,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Potato,2021-10-26,37.266,27.998,9.785,5.746,7.746,8.575,65.265,75.050,80.796,88.542,97.118
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Potato,2021-11-23,81.147,50.219,32.716,9.883,9.738,,131.367,164.082,173.965,183.703,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Potato,2022-01-17,14.164,11.197,9.742,9.423,7.865,,25.361,35.104,44.527,52.392,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Potato,2022-02-08,4.192,3.883,4.019,4.483,8.403,,8.075,12.094,16.577,24.980,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Potato,2022-03-08,15.775,9.253,4.828,3.197,4.932,4.976,25.028,29.856,33.054,37.985,42.961
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Potato,2022-05-02,43.215,14.511,5.679,5.720,5.203,,57.726,63.405,69.125,74.328,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Potato,2021-12-13,9.173,20.659,6.577,4.814,3.605,,29.832,36.409,41.222,44.827,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Potato,2021-09-14,24.163,10.912,4.278,2.317,3.468,,35.075,39.353,41.670,45.137,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Potato,2021-10-26,38.603,29.885,9.949,3.707,3.899,4.496,68.488,78.438,82.145,86.043,90.540
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Potato,2021-11-23,81.350,54.387,22.708,22.754,7.609,,135.737,158.445,181.199,188.808,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Potato,2022-01-17,34.716,11.393,9.583,12.882,10.523,,46.109,55.692,68.574,79.097,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Potato,2022-02-08,5.265,5.115,5.067,8.972,7.743,,10.380,15.447,24.419,32.162,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Potato,2022-03-08,18.432,19.207,5.658,8.457,10.565,8.116,37.639,43.297,51.755,62.319,70.436
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Potato,2022-05-02,74.920,17.274,8.852,9.207,10.331,,92.194,101.046,110.253,120.585,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Potato,2021-12-13,15.964,29.131,9.014,7.701,6.002,,45.095,54.109,61.809,67.811,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Potato,2021-09-14,35.631,15.810,10.833,6.528,6.401,,51.441,62.274,68.801,75.202,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Potato,2021-10-26,43.172,31.039,14.306,6.409,7.561,8.356,74.211,88.517,94.926,102.487,110.843
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Potato,2021-11-23,75.987,67.302,26.085,10.409,8.657,,143.289,169.374,179.783,188.440,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Potato,2022-01-17,164.496,52.487,32.112,19.463,13.069,,216.983,249.095,268.558,281.627,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Potato,2022-02-08,25.163,16.135,22.813,15.879,19.154,,41.298,64.111,79.990,99.145,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Potato,2022-03-08,46.638,41.104,31.259,19.117,18.134,13.333,87.742,119.001,138.118,156.251,169.584
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Potato,2022-05-02,89.393,36.038,31.766,32.199,20.913,,125.431,157.196,189.396,210.309,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Ryegrass,2022-06-08,53.271,36.220,10.525,7.972,8.432,,89.490,100.015,107.987,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Ryegrass,2022-07-18,9.163,33.661,37.461,15.964,15.307,,42.824,80.285,96.249,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Ryegrass,2022-08-15,6.562,6.036,35.400,23.409,20.183,,12.598,47.998,71.407,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Ryegrass,2022-09-20,2.437,1.543,5.895,16.780,21.305,,3.980,9.874,26.654,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Ryegrass,2022-10-18,3.738,2.963,6.542,19.998,22.555,,6.702,13.243,33.241,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Ryegrass,2022-12-06,0.264,1.093,,,2.939,,,,,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Ryegrass,2023-01-10,2.122,1.023,,0.119,,4.264,,,,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Ryegrass,2022-06-08,73.860,36.624,9.820,9.004,10.219,,110.484,120.304,129.308,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Ryegrass,2022-07-18,13.503,37.449,35.584,22.057,22.566,,50.952,86.536,108.594,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Ryegrass,2022-08-15,4.943,5.606,29.558,23.546,25.576,,10.549,40.107,63.654,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Ryegrass,2022-09-20,5.564,1.737,6.954,13.662,13.168,,7.301,14.255,27.917,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Ryegrass,2022-10-18,4.794,2.863,5.990,18.646,20.452,,7.657,13.647,32.293,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Ryegrass,2022-12-06,1.793,1.568,,,10.821,,,,,,
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Ryegrass,2023-01-10,4.012,1.744,0.829,2.829,1.370,5.686,5.756,6.585,9.413,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Ryegrass,2022-06-08,78.161,53.230,14.728,11.810,12.043,,131.392,146.120,157.930,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Ryegrass,2022-07-18,11.165,32.915,35.910,25.626,28.555,,44.081,79.991,105.616,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Ryegrass,2022-08-15,5.662,5.556,24.104,13.765,13.413,,11.219,35.322,49.087,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Ryegrass,2022-09-20,3.980,1.652,13.518,23.020,18.030,,5.633,19.151,42.170,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Ryegrass,2022-10-18,5.064,3.027,7.993,29.823,26.595,,8.091,16.084,45.907,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Ryegrass,2022-12-06,0.739,0.087,,,7.722,,,,,,
LincolnRot2_N3_Irr1,N3,Irr1,Lincoln,Rotation2,Ryegrass,2023-01-10,2.762,1.492,4.308,0.997,5.595,8.822,4.255,8.563,9.560,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Ryegrass,2022-06-08,162.765,136.390,60.845,37.231,29.480,,299.155,359.999,397.231,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Ryegrass,2022-07-18,26.248,84.491,133.067,77.644,44.552,,110.739,243.807,321.450,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Ryegrass,2022-08-15,6.819,20.539,92.145,60.895,57.253,,27.359,119.504,180.399,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Ryegrass,2022-09-20,25.420,3.537,47.790,69.432,58.988,,28.956,76.747,146.179,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Ryegrass,2022-10-18,12.927,4.414,20.305,52.277,50.676,,17.341,37.646,89.923,,
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Ryegrass,2022-12-06,15.132,4.114,22.230,44.126,40.864,,19.246,41.476,85.602,,
