,WeatherStation,InitialN,SoilCategory,Texture,Rocks,SampleDepth,PMN,Splits,PrePlantRain,InCropRain,Irrigation,PriorCropNameFull,PriorFieldYield,PriorFieldLoss,PriorDressingLoss,PriorMoistureContent,PriorEstablishDate,PriorEstablishStage,PriorHarvestDate,PriorHarvestStage,PriorResidueRemoval,PriorResidueIncorporation,CurrentCropNameFull,CurrentFieldYield,CurrentFieldLoss,CurrentDressingLoss,CurrentMoistureContent,CurrentEstablishDate,CurrentEstablishStage,CurrentHarvestDate,CurrentHarvestStage,CurrentResidueRemoval,CurrentResidueIncorporation,FollowingCropNameFull,FollowingFieldYield,FollowingFieldLoss,FollowingDressingLoss,FollowingMoistureContent,FollowingEstablishDate,FollowingEstablishStage,FollowingHarvestDate,FollowingHarvestStage,FollowingResidueRemoval,FollowingResidueIncorporation
LincolnRot2_N2_Irr2_RyeGrass,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
LincolnRot2_N3_Irr1_PakChoi,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2020-03-01 00:00:00,Seed,2020-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Pak choi Vegetable General,59,0,0,94,2020-12-07 00:00:00,Seed,2021-01-23 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough)
LincolnRot2_N3_Irr1_Oat,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Some,Pak choi Vegetable General,59,0,0,94,2020-12-07 00:00:00,Seed,2021-01-23 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough),Maturity harvest Potato Agria ,92,0,0,80,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough)
LincolnRot2_N3_Irr1_Potato,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Some,Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough),Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough)
LincolnRot2_N3_Irr1_RyeGrass,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Some,Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
LincolnRot2_N3_Irr2_PakChoi,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2020-03-01 00:00:00,Seed,2020-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Pak choi Vegetable General,59,0,0,94,2020-12-07 00:00:00,Seed,2021-01-23 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough)
LincolnRot2_N3_Irr2_Oat,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Pak choi Vegetable General,59,0,0,94,2020-12-07 00:00:00,Seed,2021-01-23 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough),Maturity harvest Potato Agria ,92,0,0,80,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough)
LincolnRot2_N3_Irr2_Potato,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough),Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough)
LincolnRot2_N3_Irr2_RyeGrass,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
LincolnRot2_N4_Irr1_PakChoi,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2020-03-01 00:00:00,Seed,2020-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Pak choi Vegetable General,59,0,0,94,2020-12-07 00:00:00,Seed,2021-01-23 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough)
LincolnRot2_N4_Irr1_Oat,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Some,Pak choi Vegetable General,59,0,0,94,2020-12-07 00:00:00,Seed,2021-01-23 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough),Maturity harvest Potato Agria ,92,0,0,80,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough)
LincolnRot2_N4_Irr1_Potato,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Some,Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough),Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough)
LincolnRot2_N4_Irr1_RyeGrass,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Some,Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
LincolnRot2_N4_Irr2_PakChoi,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2020-03-01 00:00:00,Seed,2020-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Pak choi Vegetable General,59,0,0,94,2020-12-07 00:00:00,Seed,2021-01-23 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough)
LincolnRot2_N4_Irr2_Oat,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Pak choi Vegetable General,59,0,0,94,2020-12-07 00:00:00,Seed,2021-01-23 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough),Maturity harvest Potato Agria ,92,0,0,80,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough)
LincolnRot2_N4_Irr2_Potato,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Oat Fodder General,7.5,0,0,0,2021-03-02 00:00:00,Seed,2021-07-30 00:00:00,MidReproductive,None removed,Full (Plough),Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough)
LincolnRot2_N4_Irr2_RyeGrass,LincolnActual,50,Sedimentary,SiltLoam,0,Top30cm,39,0,Typical,Typical,Full,Maturity harvest Potato Agria ,92,0,0,75,2021-10-22 00:00:00,Seed,2022-03-09 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1.51,0,0,14,2022-05-10 00:00:00,Seed,2023-01-07 00:00:00,Maturity,Baled,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
HawkesBayRot3_N1_Irr1_Onion,HastingsActual,60,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2021-03-01 00:00:00,Seed,2021-08-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1,0,0,14,2022-03-20 00:00:00,Seed,2022-11-30 00:00:00,Maturity,Baled,Full (Plough)
HawkesBayRot3_N1_Irr1_Ryegrass,HastingsActual,50,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N1_Irr1_RyegrassRegrowth1,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N1_Irr1_RyegrassRegrowth2,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
HawkesBayRot3_N1_Irr2_Onion,HastingsActual,60,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2021-03-01 00:00:00,Seed,2021-08-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1,0,0,14,2022-03-20 00:00:00,Seed,2022-11-30 00:00:00,Maturity,Baled,Full (Plough)
HawkesBayRot3_N1_Irr2_Ryegrass,HastingsActual,50,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N1_Irr2_RyegrassRegrowth1,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N1_Irr2_RyegrassRegrowth2,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
HawkesBayRot3_N2_Irr1_Onion,HastingsActual,60,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2021-03-01 00:00:00,Seed,2021-08-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1,0,0,14,2022-03-20 00:00:00,Seed,2022-11-30 00:00:00,Maturity,Baled,Full (Plough)
HawkesBayRot3_N2_Irr1_Ryegrass,HastingsActual,50,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N2_Irr1_RyegrassRegrowth1,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N2_Irr1_RyegrassRegrowth2,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
HawkesBayRot3_N2_Irr2_Onion,HastingsActual,60,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2021-03-01 00:00:00,Seed,2021-08-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1,0,0,14,2022-03-20 00:00:00,Seed,2022-11-30 00:00:00,Maturity,Baled,Full (Plough)
HawkesBayRot3_N2_Irr2_Ryegrass,HastingsActual,50,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N2_Irr2_RyegrassRegrowth1,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N2_Irr2_RyegrassRegrowth2,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
HawkesBayRot3_N3_Irr1_Onion,HastingsActual,60,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2021-03-01 00:00:00,Seed,2021-08-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1,0,0,14,2022-03-20 00:00:00,Seed,2022-11-30 00:00:00,Maturity,Baled,Full (Plough)
HawkesBayRot3_N3_Irr1_Ryegrass,HastingsActual,50,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N3_Irr1_RyegrassRegrowth1,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N3_Irr1_RyegrassRegrowth2,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
HawkesBayRot3_N3_Irr2_Onion,HastingsActual,60,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2021-03-01 00:00:00,Seed,2021-08-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1,0,0,14,2022-03-20 00:00:00,Seed,2022-11-30 00:00:00,Maturity,Baled,Full (Plough)
HawkesBayRot3_N3_Irr2_Ryegrass,HastingsActual,50,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N3_Irr2_RyegrassRegrowth1,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N3_Irr2_RyegrassRegrowth2,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
HawkesBayRot3_N4_Irr1_Onion,HastingsActual,60,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2021-03-01 00:00:00,Seed,2021-08-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1,0,0,14,2022-03-20 00:00:00,Seed,2022-11-30 00:00:00,Maturity,Baled,Full (Plough)
HawkesBayRot3_N4_Irr1_Ryegrass,HastingsActual,50,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N4_Irr1_RyegrassRegrowth1,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N4_Irr1_RyegrassRegrowth2,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Some,Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
HawkesBayRot3_N4_Irr2_Onion,HastingsActual,60,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2021-03-01 00:00:00,Seed,2021-08-01 00:00:00,EarlyReproductive,None removed,Full (Plough),Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Ryegrass Seed General,1,0,0,14,2022-03-20 00:00:00,Seed,2022-11-30 00:00:00,Maturity,Baled,Full (Plough)
HawkesBayRot3_N4_Irr2_Ryegrass,HastingsActual,50,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Onion Vegetable Brown,44,0,0,87,2021-09-25 00:00:00,Seed,2022-02-10 00:00:00,Maturity,None removed,Full (Plough),Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N4_Irr2_RyegrassRegrowth1,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Annual ryegrass Fodder General,3,0,0,0,2022-03-20 00:00:00,Seed,2022-09-06 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface)
HawkesBayRot3_N4_Irr2_RyegrassRegrowth2,HastingsActual,20,Sedimentary,ClayLoam,0,Top30cm,85,0,Typical,Typical,Full,Pasture Regrowth,4,0,0,0,2022-09-07 00:00:00,Seedling,2022-10-28 00:00:00,Vegetative,Baled,None (Surface),Pasture Regrowth,4,0,0,0,2022-10-29 00:00:00,Seedling,2022-11-30 00:00:00,Vegetative,Baled,None (Surface),Annual ryegrass Fodder General,3,0,0,0,2023-03-01 00:00:00,Seed,2023-05-26 00:00:00,EarlyReproductive,None removed,Full (Plough)
